Education,StatBackground,RandNoRestrictions,Rand1to50,RandOver70,AssessmentRandNoRestrictions,AssessmentRand1to50,AssessmentRandOver70,Do you have any additional comments? Please share your thoughts here.
Bachelor's Degree,Basic knowledge,"1, 5, 7, 4, 9","1, 33, 35, 45, 49","71, 78, 80, 85, 87",4,3,4,
High School Diploma or Equivalent,Basic knowledge,"1, 2, 7, 14, 21","23, 37, 17, 28, 11","78, 89, 93, 8347, 7193471",3,4,4,
High School Diploma or Equivalent,Basic knowledge,"25, 7, 13, 144, 92","26, 33, 48, 5, 16","76, 82, 105, 94, 88",3,3,3,
High School Diploma or Equivalent,Basic knowledge,"5, 10, 15, 20, 25","1, 2, 3, 4, 5","72, 73, 74, 75, 76",3,3,3,
Bachelor's Degree,Moderate knowledge,"22, 37, 448, 55, 99","5, 8, 9, 22, 25","88, 340, 99, 235, 799",1,2,4,
High School Diploma or Equivalent,Basic knowledge,"5, 67, 34, 88, 2","3, 12, 47, 33, 29","800, 90, 250, 444, 82",5,5,5,I’m very interested to know what this survey is about :) good luck!
Bachelor's Degree,No background,"4, 2, 7, 9, 1","5, 12, 6, 50, 24","78, 89, 120, 340, 125",5,4,3,
Bachelor's Degree,Moderate knowledge,"67822, 8907655, 8907655, 0, -1","4, 8, 2.4, 2, 2","67822, 8907655, 8907655, 99, 98",2,3,2,
Bachelor's Degree,Moderate knowledge,"1, 4, 3, 8, 13","1, 4, 3, 8, 13","70000000, 4093567, 100, 77, 99999999999999",1,1,3,That was fun) Thank You! 143!
High School Diploma or Equivalent,Moderate knowledge,"9, 19, 28, 7, 8","9, 6, 18, 3, 28","99, 90, 100, 79, 80",5,4,4,
Master's Degree,Basic knowledge,"5, 15, 55, 0, 0","1, 12, 27, 33, 45","101, 253, 3805, 71549, 1999999999",1,2,3,頑張ってください!
Master's Degree,Moderate knowledge,"4, 11, 35, 63, 107","3, 15, 32, 43, 50","77, 99, 101, 111, 222",5,5,5,
Master's Degree,No background,"2, 5, 7, 10, 1000","3, 7, 10, 11, 13","100, 1000, 1000000000, 3333, 100",5,3,1,
High School Diploma or Equivalent,Moderate knowledge,"5, 13, 20, 17, 2","12, 28, 37, 6, 45","85, 99, 102, 134, 120",5,4,5,
Doctoral Degree,Basic knowledge,"0, 17, 31, 43, 100","3, 18, 32, 46, 50","87, 91, 145, 209, 635",4,3,4,Good luck ;)
High School Diploma or Equivalent,Basic knowledge,"69, 420, 1337, 1984, 2007","34, 35, 34, 35, 34","420, 1337, 1984, 7070, 707011 ",1,1,1,XD
Master's Degree,Moderate knowledge,"-9, -1, 0, 17, 346","2, 7, 11, 31, 48","90, 103, 266, 457, 576",3,3,4,
Master's Degree,Basic knowledge,"419, 648, 2, 489.83, 34","6, 37, 18, 41, 7","976, 4765, 35832, 72, 5680",3,4,4,
Bachelor's Degree,Basic knowledge,"3, 4, 78.9, 21, 98768","7, 34, 17, 21, 4","81, 89, 83, 90, 91",5,5,5,"Are you trying to understand patterns in randomness? That's cool, if that's the case! 😁"
Bachelor's Degree,Basic knowledge,"-10, 0.374, 245, 3495, 14678","6, 13.93, 28, 32.57, 49","1516, 23567, 87654, 245476, 1000021",4,4,5,:)
Bachelor's Degree,Basic knowledge,"126156, 1635448, 47463639, 59372626, 4490","5, 38, 17, 3, 25","471, 47362, 201, 71, 472",4,2,3,Nigger
Master's Degree,Moderate knowledge,"-10.56429, -8.245346, 0, 3.5343, 7.29465","12.65, 17.495, 24, 37.46383, 48","82.75, 93.2674, 101002, 43345, 384622",5,5,5,"Funny, good luck ;]"
Bachelor's Degree,No background,"1, 7, 126, 7643, 573008","3, 16, 32, 48, 50","89, 468, 38200, 778729, 1000000",4,5,5,
Doctoral Degree,Moderate knowledge,"7, 1, 9, 0, 3","43, 21, 49, 33, 37","24567, 985678, 234, 56785, 345567",2,2,2,
Bachelor's Degree,Basic knowledge,"7, 98, 32, 15, 9","2, 35, 12, 17, 29","82, 95, 100, 77, 90",5,5,5,
High School Diploma or Equivalent,Basic knowledge,"7, 4, 99999, 22, 76","5, 8, 33, 34, 12","79, 865, 88, 90, 1245",3,4,5,
Bachelor's Degree,Basic knowledge,"-0.748, -0.0537, 0, 0.141, 0.7523","13, 18, 23.45, 43, 49.66","78, 290, 1724, 32527, 100000",3,4,4,
Bachelor's Degree,Moderate knowledge,"1, 3, 5, 9, 0","1, 20, 30, 43, 33","70, 73, 76, 89, 90",4,4,4,
Bachelor's Degree,Moderate knowledge,"8, 8, 6000, 67, -5.4","5, 10, 6, 46, 8","89, 467, 975, 5436, 654",3,3,3,I think they are not that random because there is some kind of a reason why my brain thought of that exact numbers and not other ones.
Doctoral Degree,Expert,"4, 4, 8, 5, 1","24, 6, 43, 7, 9","83, 91, 99, 77, 81",3,3,3,
